"","Id","OverallQual","GrLivArea","GarageCars","GarageArea","SalePrice"
"1",1461,5,896,1,730,122522.09
"2",1462,6,1329,1,312,153638.249
"3",1463,5,1629,2,482,159890.077
"4",1464,6,1604,2,470,185141.87
"5",1465,8,1280,2,506,224551.134
"6",1466,6,1655,2,440,186425.753
"7",1467,6,1187,2,420,162396.029
"8",1468,6,1465,2,393,175057.417
"9",1469,7,1341,2,506,200586.233
"10",1470,4,882,2,525,97653.746
"11",1471,7,1337,2,511,200595.331
"12",1472,6,987,1,264,134693.339
"13",1473,5,1092,1,320,115232.418
"14",1474,6,1456,2,440,176560.726
"15",1475,7,836,1,308,156021.702
"16",1476,9,2334,3,751,325269.562
"17",1477,8,1544,3,868,263970.964
"18",1478,9,1698,3,730,292870.096
"19",1479,8,1822,3,678,269871.438
"20",1480,9,2696,3,958,351800.934
"21",1481,8,2250,3,756,294323.966
"22",1482,8,1370,2,484,228100.188
"23",1483,6,1324,2,430,169602.31
"24",1484,7,1145,2,437,188007.943
"25",1485,7,1374,2,400,197825.474
"26",1486,7,1733,2,433,216990.955
"27",1487,8,2475,3,962,314022.359
"28",1488,8,1595,3,880,266996.923
"29",1489,7,1218,2,676,201540.014
"30",1490,6,1468,2,528,180805.666
"31",1491,7,1659,2,484,215437.931
"32",1492,5,1012,1,429,115787.68
"33",1493,6,1494,2,461,179315.538
"34",1494,8,2349,3,762,299480.561
"35",1495,8,2225,3,713,291301.087
"36",1496,7,1488,2,506,207873.464
"37",1497,7,1680,2,588,220792.676
"38",1498,7,1200,2,480,192518.012
"39",1499,7,1200,2,480,192518.012
"40",1500,6,1236,2,480,167313.786
"41",1501,6,1512,2,440,179336.814
"42",1502,7,1080,2,496,187232.9
"43",1503,8,1418,3,852,257061.118
"44",1504,8,1848,2,592,256275.706
"45",1505,7,1492,2,596,211804.776
"46",1506,6,1829,2,535,198991.865
"47",1507,6,2495,2,660,237192.233
"48",1508,6,1891,2,678,207996.745
"49",1509,6,1645,2,441,185971.501
"50",1510,5,1232,2,490,140541.42
"51",1511,5,1209,2,504,139981.933
"52",1512,5,1510,2,517,155442.62
"53",1513,6,1775,2,480,194033.633
"54",1514,5,1728,0,0,122170.364
"55",1515,5,2461,2,400,197733.617
"56",1516,6,1556,2,470,182762.366
"57",1517,6,1128,1,315,143798.51
